"18510429","TOTAL","T","CZ06",2014,2336
"18510430","TOTAL","T","CZ063",2014,-522
"18510431","TOTAL","T","CZ064",2014,2854
"18510432","TOTAL","T","CZ07",2014,-1127
"18510433","TOTAL","T","CZ071",2014,-676
"18510434","TOTAL","T","CZ072",2014,-447
"18510435","TOTAL","T","CZ08",2014,-3102
"18510436","TOTAL","T","CZ080",2014,-3102
"18510437","TOTAL","T","DE",2014,263069
"18510438","TOTAL","T","DE11",2014,16234
"18510439","TOTAL","T","DE111",2014,5526
"18510440","TOTAL","T","DE112",2014,1287
"18510441","TOTAL","T","DE113",2014,2648
"18510442","TOTAL","T","DE114",2014,323
"18510443","TOTAL","T","DE115",2014,3088
"18510444","TOTAL","T","DE116",2014,1002
"18510445","TOTAL","T","DE117",2014,982
"18510446","TOTAL","T","DE118",2014,865
"18510447","TOTAL","T","DE119",2014,144
"18510448","TOTAL","T","DE11A",2014,334
"18510449","TOTAL","T","DE11B",2014,-93
"18510450","TOTAL","T","DE11C",2014,42
"18510451","TOTAL","T","DE11D",2014,141
"18510452","TOTAL","T","DE12",2014,12826
"18510453","TOTAL","T","DE121",2014,419
"18510454","TOTAL","T","DE122",2014,3220
"18510455","TOTAL","T","DE123",2014,1913
"18510456","TOTAL","T","DE124",2014,489
"18510457","TOTAL","T","DE125",2014,1747
"18510458","TOTAL","T","DE126",2014,2496
"18510459","TOTAL","T","DE127",2014,-332
"18510460","TOTAL","T","DE128",2014,1957
"18510461","TOTAL","T","DE129",2014,1161
"18510462","TOTAL","T","DE12A",2014,-193
"18510463","TOTAL","T","DE12B",2014,443
"18510464","TOTAL","T","DE12C",2014,-509
"18510465","TOTAL","T","DE13",2014,10074
"18510466","TOTAL","T","DE131",2014,3607
"18510467","TOTAL","T","DE132",2014,1173
"18510468","TOTAL","T","DE133",2014,615
"18510469","TOTAL","T","DE134",2014,1064
"18510470","TOTAL","T","DE135",2014,-408
"18510471","TOTAL","T","DE136",2014,526
"18510472","TOTAL","T","DE137",2014,146
"18510473","TOTAL","T","DE138",2014,2088
